uniqueID,Site Landscape,Species,subgenus,ground location of nest,detection method,nest total,materials,important habitat types,soil type,preferred landscape,Preferred patch,Landscape graph,Patch graph
22,agricultural,Bombus terrestris,Bombus sensu stricto,underground,detection dogs,7,N/S,9 bumble bee nests were located in agriculturalland 3 in woodland edge and 3 within hedgerows and 1 in short grass and 1 in long grass and 1 in bank habitats. 23 nests in woodland 17,N/A,agriculturaland forest,did not study,"forest, grassland",
23,gardens,Bombus lucorum,Bombus sensu stricto,underground,observational,210,N/A,"77% of th nests were in bird boxes, caviies in rocks/walls, or man made structure. lucorum nesting under buildings",N/A,gardens,under buildings,urban,under buildings
23,gardens,Bombus pascuorum,Thoracobombus,surface,observational,70,N/A,"77% of th nests were in bird boxes, caviies in rocks/walls, or man made structure. pascuorum nests with vegetation especially in the base of long grass and with moss, ",N/A,gardens,base of vegetation,urban,base of vegetation
23,gardens,Bombus terrestris,Bombus sensu stricto,underground,observational,298,N/A,"77% of th nests were in bird boxes, caviies in rocks/walls, or man made structure.  Lapidarius commonly in cavities in rock/stone or in holes in the ground, terresris in hole inthe ground",N/A,gardens,holes in the ground,urban,holes in the ground
33,urban,Bombus affinis,Bombus sensu stricto,underground,observational,9,N/A,N/A,N/A,urban green spaces,N/A,urban,urban green spaces
33,urban,Bombus occidentalis,Bombus sensu stricto,underground,observational,2,N/A,N/A,N/A,urban green spaces,N/A,urban,urban green spaces
33,urban,Bombus terricola,Bombus sensu stricto,underground,observational,2,N/A,N/A,N/A,urban green spaces,N/A,urban,urban green spaces
40,"agricultural, urban, forest, grassland",Bombus lucorum,Bombus sensu stricto,underground,observational,29,"Moss, grass cuttings, hay, straw, leaf litter, pine needles, fur/hair/feathers, paper, sacking, insulation, pieces of polythene, soil","13% of nests were in tall grass, 9% in short grass, 14% on stone 6% on bare earth, 7% in tree roots, 2% in logs/stumps, 3% in woodpiles, 4% in next box, 5% above-ground inside buildings, 19% belowground or at ground level in buildings, &5 in vegetation, 9% in compost 1 % in straw, 3% in rubbish. Landscape characterisitcs: 14% hedgerow, 9% bank, 11% wall, 22% shrubs, 41% buildings, 4% fence",N/A,N/A,"wood(roots, old logs, woodpiles, nest boxes). Buildings. Trees/shrubs","urban, forest","wood(roots, old logs, woodpiles, nest boxes). Buildings. Trees/shrubs"
40,"agricultural, urban, forest, grassland",Bombus lucorum,Bombus sensu stricto,surface,observational,6,"Moss, grass cuttings, hay, straw, leaf litter, pine needles, fur/hair/feathers, paper, sacking, insulation, pieces of polythene, soil","13% of nests were in tall grass, 9% in short grass, 14% on stone 6% on bare earth, 7% in tree roots, 2% in logs/stumps, 3% in woodpiles, 4% in next box, 5% above-ground inside buildings, 19% belowground or at ground level in buildings, &5 in vegetation, 9% in compost 1 % in straw, 3% in rubbish. Landscape characterisitcs: 14% hedgerow, 9% bank, 11% wall, 22% shrubs, 41% buildings, 4% fence",N/A,N/A,"wood(roots, old logs, woodpiles, nest boxes). Buildings. Trees/shrubs","urban, forest","wood(roots, old logs, woodpiles, nest boxes). Buildings. Trees/shrubs"
40,"agricultural, urban, forest, grassland",Bombus lucorum,Bombus sensu stricto,above-ground,observational,6,"Moss, grass cuttings, hay, straw, leaf litter, pine needles, fur/hair/feathers, paper, sacking, insulation, pieces of polythene, soil","13% of nests were in tall grass, 9% in short grass, 14% on stone 6% on bare earth, 7% in tree roots, 2% in logs/stumps, 3% in woodpiles, 4% in next box, 5% above-ground inside buildings, 19% belowground or at ground level in buildings, &5 in vegetation, 9% in compost 1 % in straw, 3% in rubbish. Landscape characterisitcs: 14% hedgerow, 9% bank, 11% wall, 22% shrubs, 41% buildings, 4% fence",N/A,N/A,"wood(roots, old logs, woodpiles, nest boxes). Buildings. Trees/shrubs","urban, forest","wood(roots, old logs, woodpiles, nest boxes). Buildings. Trees/shrubs"
40,"agricultural, urban, forest, grassland",Bombus pascuorum,Thoracobombus,underground,observational,6,"Moss, grass cuttings, hay, straw, lamb's ear leaves, leaf litter, old carpet, sacking, upholstery material, pieces of polythene","30% in tall grass, 5% in short grass, 10% in stone, 6% in tree roots, 1% in logs/stumps, 1% in woodpile, 8% in nest box, 1% inside buildings above ground 1% inside bjuildings at or below ground, 17% in vegetation, 10% in compost 1% in litter, 7% in rubbish 2% in black polythene. Landscape characteristics: 31% in hedgerows, 6% in banks, 16% in walls, 29% in trees/shrubs, 10% in buildings, 8% in fences",N/A,N/A,"grasses, especially tall. Tussocks. wood(roots, old logs, woodpiles, nest boxes). Compost heaps. Hedgerows. Trees/shrubs","grassland, forest, agricultural","grasses, especially tall. Tussocks. wood(roots, old logs, woodpiles, nest boxes). Compost heaps. Hedgerows. Trees/shrubs"
40,"agricultural, urban, forest, grassland",Bombus pascuorum,Thoracobombus,surface,observational,48,"Moss, grass cuttings, hay, straw, lamb's ear leaves, leaf litter, old carpet, sacking, upholstery material, pieces of polythene","30% in tall grass, 5% in short grass, 10% in stone, 6% in tree roots, 1% in logs/stumps, 1% in woodpile, 8% in nest box, 1% inside buildings above ground 1% inside bjuildings at or below ground, 17% in vegetation, 10% in compost 1% in litter, 7% in rubbish 2% in black polythene. Landscape characteristics: 31% in hedgerows, 6% in banks, 16% in walls, 29% in trees/shrubs, 10% in buildings, 8% in fences",N/A,N/A,"grasses, especially tall. Tussocks. wood(roots, old logs, woodpiles, nest boxes). Compost heaps. Hedgerows. Trees/shrubs","grassland, forest, agricultural","grasses, especially tall. Tussocks. wood(roots, old logs, woodpiles, nest boxes). Compost heaps. Hedgerows. Trees/shrubs"
40,"agricultural, urban, forest, grassland",Bombus pascuorum,Thoracobombus,above-ground,observational,6,"Moss, grass cuttings, hay, straw, lamb's ear leaves, leaf litter, old carpet, sacking, upholstery material, pieces of polythene","30% in tall grass, 5% in short grass, 10% in stone, 6% in tree roots, 1% in logs/stumps, 1% in woodpile, 8% in nest box, 1% inside buildings above ground 1% inside bjuildings at or below ground, 17% in vegetation, 10% in compost 1% in litter, 7% in rubbish 2% in black polythene. Landscape characteristics: 31% in hedgerows, 6% in banks, 16% in walls, 29% in trees/shrubs, 10% in buildings, 8% in fences",N/A,N/A,"grasses, especially tall. Tussocks. wood(roots, old logs, woodpiles, nest boxes). Compost heaps. Hedgerows. Trees/shrubs","grassland, forest, agricultural","grasses, especially tall. Tussocks. wood(roots, old logs, woodpiles, nest boxes). Compost heaps. Hedgerows. Trees/shrubs"
40,"agricultural, urban, forest, grassland",Bombus terrestris,Bombus sensu stricto,underground,observational,43,"Moss, grass cuttings, hay, straw, leaf litter, pine needles, fur/hair/feathers, paper, sacking, insulation, pieces of polythene, soil","13% of nests were in tall grass, 9% in short grass, 14% on stone 6% on bare earth, 7% in tree roots, 2% in logs/stumps, 3% in woodpiles, 4% in next box, 5% above-ground inside buildings, 19% belowground or at ground level in buildings, &5 in vegetation, 9% in compost 1 % in straw, 3% in rubbish. Landscape characterisitcs: 14% hedgerow, 9% bank, 11% wall, 22% shrubs, 41% buildings, 4% fence",N/A,N/A,"wood(roots, old logs, woodpiles, nest boxes). Buildings. Trees/shrubs","urban, forest","wood(roots, old logs, woodpiles, nest boxes). Buildings. Trees/shrubs"
40,"agricultural, urban, forest, grassland",Bombus terrestris,Bombus sensu stricto,surface,observational,9,"Moss, grass cuttings, hay, straw, leaf litter, pine needles, fur/hair/feathers, paper, sacking, insulation, pieces of polythene, soil","13% of nests were in tall grass, 9% in short grass, 14% on stone 6% on bare earth, 7% in tree roots, 2% in logs/stumps, 3% in woodpiles, 4% in next box, 5% above-ground inside buildings, 19% belowground or at ground level in buildings, &5 in vegetation, 9% in compost 1 % in straw, 3% in rubbish. Landscape characterisitcs: 14% hedgerow, 9% bank, 11% wall, 22% shrubs, 41% buildings, 4% fence",N/A,N/A,"wood(roots, old logs, woodpiles, nest boxes). Buildings. Trees/shrubs","urban, forest","wood(roots, old logs, woodpiles, nest boxes). Buildings. Trees/shrubs"
40,"agricultural, urban, forest, grassland",Bombus terrestris,Bombus sensu stricto,above-ground,observational,9,"Moss, grass cuttings, hay, straw, leaf litter, pine needles, fur/hair/feathers, paper, sacking, insulation, pieces of polythene, soil","13% of nests were in tall grass, 9% in short grass, 14% on stone 6% on bare earth, 7% in tree roots, 2% in logs/stumps, 3% in woodpiles, 4% in next box, 5% above-ground inside buildings, 19% belowground or at ground level in buildings, &5 in vegetation, 9% in compost 1 % in straw, 3% in rubbish. Landscape characterisitcs: 14% hedgerow, 9% bank, 11% wall, 22% shrubs, 41% buildings, 4% fence",N/A,N/A,"wood(roots, old logs, woodpiles, nest boxes). Buildings. Trees/shrubs","urban, forest","wood(roots, old logs, woodpiles, nest boxes). Buildings. Trees/shrubs"
41,forest,Bombus hypocrita,Bombus sensu stricto,underground,observational,2,"leaves, grass, moss",N/A,N/A,forest,"slopes, plant litter",forest,"slopes, litter"
41,forest,Bombus ignitus,Bombus sensu stricto,underground,observational,9,small mammal burrow,N/A,N/A,forest,slopes ,forest,slopes
43,agricultural,Bombus terrestris,Bombus sensu stricto,surface,observational,17,artificial domiciles,less intensive farms had higher occupancy,N/A,N/A,N/A,agricultural,
44,alpine,Bombus lucorum,Bombus sensu stricto,underground,nest seeking queens and observational,8,"rodent burrow, under rock",N/A,N/A,"subalpine, forest, shrubland, human",N/A,"alpine, forest, shrubland",human influenced
47,Urban,Bombus terrestris,Bombus sensu stricto,surface,observational,1,artificial domicile,N/A,N/A,N/A,N/A,urban,
56,Urban,Bombus affinis,Bombus sensu stricto,underground,observational,1,covered with old leaves,N/A,N/A,woodland,N/A,forest,
56,Urban,Bombus terricola,Bombus sensu stricto,underground,observational,1,N/A,N/A,sand,woodland,N facing slope,forest,N facing slope
4,tropical forest,Bombus melaleucus,Cullumanobombus,underground,observational,1,"abandoned mammal nest , very wet soil surrounding but dry inside the nest, covered in dry plant material",N/A,wet,tropical forest,wet soil near bamboo,tropical forest,support (bamboo)
6,grassland,Bombus rufocinctus,Cullumanobombus,underground,observational,8,artificial domiciles," had broadest niche did not discriminate across resoure states, between woodlands, meadows and interspaces",N/A,generalist,"grasslands, forest interface, forest ","grassland, forest, forest edge",
6,grassland,Bombus rufocinctus,Cullumanobombus,surface,observational,15,artificial domiciles," had broadest niche did not discriminate across resoure states, between woodlands, meadows and interspaces",N/A,generalist,"grasslands, forest interface, forest ","grassland, forest, forest edge",
6,grassland,Bombus rufocinctus,Cullumanobombus,above-ground,observational,20,artificial domiciles," had broadest niche did not discriminate across resoure states, between woodlands, meadows and interspaces",N/A,generalist,"grasslands, forest interface, forest ","grassland, forest, forest edge",
7,agricultural,Bombus griseocollis,Cullumanobombus,surface,observational,10,N/A,Bombus fervidus colonies occupied nests in a wet area.,N/A,old field,did not study,grassland,
7,agricultural,Bombus rufocinctus,Cullumanobombus,surface,observational,8,N/A,Bombus fervidus colonies occupied nests in a wet area.,N/A,old field,did not study,grassland,
49,"forest, grassland",Bombus rufocinctus,Cullumanobombus,surface,observational,126,artificial domiciles,wooded areas,N/A,"forest, foothills",N/A,forest,foothills
49,"forest, grassland",Bombus rufocinctus,Cullumanobombus,underground,observational,65,artificial domiciles,wooded areas,N/A,"forest, foothills",N/A,forest,foothills
15,agricultural,Bombus hortorum,Megabombus,underground,observational,6,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features. gardens important",N/A,agricultural,gardens,agricultural,gardens
15,agricultural,Bombus hortorum,Megabombus,above-ground,observational,4,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features. gardens important",N/A,agricultural,gardens,agricultural,gardens
15,agricultural,Bombus hortorum,Megabombus,surface,observational,2,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features. gardens important",N/A,agricultural,gardens,agricultural,gardens
22,agricultural,Bombus hortorum,Megabombus,underground,detection dogs,7,N/S,9 bumble bee nests were located in agriculturalland 3 in woodland edge and 3 within hedgerows and 1 in short grass and 1 in long grass and 1 in bank habitats. 1 hortorum nest is the woodland,N/A,agriculturaland forest,did not study,forest,
23,gardens,Bombus hortorum,Megabombus,above-ground,observational,25,N/A,"77% of th nests were in bird boxes, caviies in rocks/walls, or man made structure. hortorum in cavities in rocks or stone often under buildings",N/A,gardens,cavities and buildings,urban,cavities and buildings
23,gardens,Bombus hortorum,Megabombus,surface,observational,12,N/A,"77% of th nests were in bird boxes, caviies in rocks/walls, or man made structure. hortorum in cavities in rocks or stone often under buildings",N/A,gardens,cavities and buildings,urban,cavities and buildings
23,gardens,Bombus hortorum,Megabombus,underground,observational,25,N/A,"77% of th nests were in bird boxes, caviies in rocks/walls, or man made structure. hortorum in cavities in rocks or stone often under buildings",N/A,gardens,cavities and buildings,urban,cavities and buildings
40,"agricultural, urban, forest, grassland",Bombus hortorum,Megabombus,underground,observational,4,"Grass cuttings, hay, lamb's ear leaves, leaf litter, paper, old carpet, upholstery material","22% in tall grass, 4% in short grass, 13% in stone, 9% on bare earth, 9% above ground in buildings 9% at or below ground in buildings, 17% in vegetation, 13% in compost, 4% in rubbis. Landscape characteristics: 20% in hedgerows, 20% in banks, 40% in buildings, 20% in fences",N/A,N/A,Buildings,urban,buildings
40,"agricultural, urban, forest, grassland",Bombus hortorum,Megabombus,surface,observational,7,"Grass cuttings, hay, lamb's ear leaves, leaf litter, paper, old carpet, upholstery material","22% in tall grass, 4% in short grass, 13% in stone, 9% on bare earth, 9% above ground in buildings 9% at or below ground in buildings, 17% in vegetation, 13% in compost, 4% in rubbis. Landscape characteristics: 20% in hedgerows, 20% in banks, 40% in buildings, 20% in fences",N/A,N/A,Buildings,urban,buildings
40,"agricultural, urban, forest, grassland",Bombus hortorum,Megabombus,above-ground,observational,6,"Grass cuttings, hay, lamb's ear leaves, leaf litter, paper, old carpet, upholstery material","22% in tall grass, 4% in short grass, 13% in stone, 9% on bare earth, 9% above ground in buildings 9% at or below ground in buildings, 17% in vegetation, 13% in compost, 4% in rubbis. Landscape characteristics: 20% in hedgerows, 20% in banks, 40% in buildings, 20% in fences",N/A,N/A,Buildings,urban,buildings
40,"agricultural, urban, forest, grassland",Bombus ruderatus,Megabombus,underground,observational,1,"Grass cuttings, hay, lamb's ear leaves, leaf litter, paper, old carpet, upholstery material","22% in tall grass, 4% in short grass, 13% in stone, 9% on bare earth, 9% above ground in buildings 9% at or below ground in buildings, 17% in vegetation, 13% in compost, 4% in rubbis. Landscape characteristics: 20% in hedgerows, 20% in banks, 40% in buildings, 20% in fences",N/A,N/A,Buildings,urban,Buildings
40,"agricultural, urban, forest, grassland",Bombus ruderatus,Megabombus,surface,observational,3,"Grass cuttings, hay, lamb's ear leaves, leaf litter, paper, old carpet, upholstery material","22% in tall grass, 4% in short grass, 13% in stone, 9% on bare earth, 9% above ground in buildings 9% at or below ground in buildings, 17% in vegetation, 13% in compost, 4% in rubbis. Landscape characteristics: 20% in hedgerows, 20% in banks, 40% in buildings, 20% in fences",N/A,N/A,Buildings,urban,Buildings
40,"agricultural, urban, forest, grassland",Bombus ruderatus,Megabombus,above-ground,observational,2,"Grass cuttings, hay, lamb's ear leaves, leaf litter, paper, old carpet, upholstery material","22% in tall grass, 4% in short grass, 13% in stone, 9% on bare earth, 9% above ground in buildings 9% at or below ground in buildings, 17% in vegetation, 13% in compost, 4% in rubbis. Landscape characteristics: 20% in hedgerows, 20% in banks, 40% in buildings, 20% in fences",N/A,N/A,Buildings,urban,Buildings
41,"forest, grassland, building",Bombus diversus,Megabombus,underground,observational,14,"leaf litter, vole burrow, bark, soil, leaves, building, aper, cloth",N/A,"moist, sandy","forest, grassland","between tree roots, under litter, slopes","forest, grassland","slopes, litter, trees"
41,"forest, grassland, building",Bombus diversus,Megabombus,surface,observational,1,"leaf litter, vole burrow, bark, soil, leaves, building, aper, cloth",N/A,"moist, sandy","forest, grassland","between tree roots, under litter, slopes","forest, grassland","slopes, litter, trees"
43,agricultural,Bombus hortorum,Megabombus,surface,observational,41,artificial domiciles,less intensive farms had higher occupancy,N/A,N/A,N/A,agricultural,
43,agricultural,Bombus ruderatus,Megabombus,surface,observational,1,artificial domiciles,less intensive farms had higher occupancy,N/A,N/A,N/A,agricultural,
47,Urban,Bombus ruderatus,Megabombus,surface,observational,16,artificial domicile,N/A,N/A,N/A,N/A,urban,
54,Arctic tundra,Bombus polaris,Alpinobomus,surface,observational,3,"vegetation (Salix arctica), nest on top of peat bound together by roots of Salix, dome like moss covering, dead vegetation",N/A,"wet, clay humus","wetland, grassland, near stream","moss, slope, flat","wetland, grassland","moss, slope, flat"
55,Arctic tundra,Bombus hyperboreus,Alpinobomus,surface,observational,2,"vegetation, dome-like moss covering, dead vegetation",N/A,"wet, clay humus","grassland, near stream","slope, moss, flat",grassland,"slope, moss, flat"
15,agricultural,Bombus lapidarius,Melanobombus,underground,observational,20,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features",N/A,agricultural,gardens,agricultural,gardens
15,agricultural,Bombus lapidarius,Melanobombus,above-ground,observational,10,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features",N/A,agricultural,gardens,agricultural,gardens
15,agricultural,Bombus lapidarius,Melanobombus,surface,observational,4,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features",N/A,agricultural,gardens,agricultural,gardens
21,grassland and dune,Bombus lapidarius,Melanobombus,underground,detection dogs,3,N/A,machair - dunes,N/A,grassland and dunes,did not study,"grassland, dune","machair, dune"
23,gardens,Bombus lapidarius,Melanobombus,underground,observational,95,N/A,"77% of th nests were in bird boxes, caviies in rocks/walls, or man made structure.  Lapidarius commonly in cavities in rock/stone or in holes in the ground",N/A,gardens,cavities in rocks/stones and in holes,urban,cavities in rocks/stones and in holes
40,"agricultural, urban, forest, grassland",Bombus lapidarius,Melanobombus,underground,observational,18,"Moss, grass cuttings, hay, leaf litter, wood chippings, fur/hair/feathers, paper, sacking","8% in tall grass, 10% in short grass, 23% on stone, 5% on bare earth, 5% on tree roots, 1%in woodpiles 14% in next boes, 7% in buildings above grond, 14% in buildings at or below ground 7% in vegetation, 4% in compost 1% in litter. Landscape characterisitcs: 7% hedgerow, 16% bank, 25% wall, 14% tree/shrub, 33% building, 5% fence",N/A,N/A,"soil next to concrete, brick or stone or in bare earth. wood(roots, old logs, woodpiles, nest boxes). Buildings. Walls","urban, forest","soil next to concrete, brick or stone or in bare earth. wood(roots, old logs, woodpiles, nest boxes). Buildings. Walls"
40,"agricultural, urban, forest, grassland",Bombus lapidarius,Melanobombus,surface,observational,7,"Moss, grass cuttings, hay, leaf litter, wood chippings, fur/hair/feathers, paper, sacking","8% in tall grass, 10% in short grass, 23% on stone, 5% on bare earth, 5% on tree roots, 1%in woodpiles 14% in next boes, 7% in buildings above grond, 14% in buildings at or below ground 7% in vegetation, 4% in compost 1% in litter. Landscape characterisitcs: 7% hedgerow, 16% bank, 25% wall, 14% tree/shrub, 33% building, 5% fence",N/A,N/A,"soil next to concrete, brick or stone or in bare earth. wood(roots, old logs, woodpiles, nest boxes). Buildings. Walls","urban, forest","soil next to concrete, brick or stone or in bare earth. wood(roots, old logs, woodpiles, nest boxes). Buildings. Walls"
